Failures,Grades,Sport,Alcohol,StartingAge,Gdp
1,4,4,2,1,4,3
1,3,3,2,3,3,3
1,3,3,2,3,5,3
1,3,3,2,2,3,3
1,3,3,1,1,4,3
1,2,4,3,4,4,23
3,2,4,3,4,5,23
2,2,4,3,1,5,23
1,2,4,3,5,1,23
2,2,4,1,1,4,23
3,2,4,2,2,5,23
2,1,3,2,1,4,23
4,1,4,4,1,4,23
3,2,2,2,3,3,23
2,2,4,2,2,3,23
2,2,3,3,2,3,23
3,2,3,4,3,2,23
2,2,4,2,1,4,23
2,3,4,1,1,4,23
1,2,3,2,3,3,23
1,2,4,1,1,4,23
2,2,4,2,1,5,23
2,2,3,4,2,5,23
2,2,4,2,2,4,23
3,2,4,2,1,5,23
4,2,3,2,1,4,23
3,2,3,2,4,5,23
3,1,3,2,1,2,23
3,2,3,3,3,4,23
2,2,3,1,1,4,23
1,3,2,2,1,4,23
3,2,4,2,1,3,23
1,2,3,1,1,4,23
2,3,4,2,1,4,23
2,2,3,1,1,4,23
2,2,4,2,1,5,23
4,1,3,2,1,4,23
2,2,4,1,1,4,23
1,3,2,1,1,4,23
1,2,2,1,1,5,23
3,1,3,2,1,5,23
3,3,4,2,1,1,23
3,2,4,1,1,4,23
2,2,4,2,1,5,23
1,1,4,2,2,5,23
1,2,4,1,1,4,23
1,2,4,1,1,5,23
3,1,4,1,1,4,23
2,2,4,2,1,4,23
2,1,4,2,1,5,23
2,3,2,1,1,4,23
3,1,2,2,1,3,23
3,2,4,1,1,4,23
1,2,3,1,1,2,23
1,2,2,2,1,4,23
2,1,4,3,1,4,23
2,2,4,1,1,4,23
3,2,1,1,1,4,23
1,2,2,1,1,4,23
4,1,4,5,2,3,23
4,1,3,1,1,4,23
2,2,3,1,1,4,23
3,1,4,2,1,4,23
1,1,4,1,1,4,23
2,1,4,3,4,4,23
2,2,3,1,1,4,23
1,3,2,3,1,4,23
4,1,4,1,1,4,23
1,2,4,1,1,4,23
1,2,4,3,2,3,23
1,2,4,1,1,4,23
3,1,4,5,1,5,23
2,3,4,1,1,4,23
2,3,4,2,1,5,23
4,2,4,1,1,4,23
3,3,3,2,1,5,23
3,1,4,1,1,4,23
1,4,3,1,1,3,23
1,2,3,1,1,4,23
4,2,4,2,2,4,23
2,2,4,4,5,5,23
1,2,4,2,2,4,23
2,1,4,3,3,3,23
3,2,4,3,1,5,23
1,2,3,2,1,3,23
3,1,2,1,1,5,23
3,1,4,2,3,5,23
2,1,4,1,1,4,23
1,2,4,1,1,4,23
1,3,4,3,4,4,23
1,2,4,1,1,4,23
2,2,1,1,1,4,23
1,2,2,2,1,5,23
3,2,2,2,1,4,23
2,1,2,1,1,4,23
4,1,2,2,1,4,23
2,2,2,1,1,4,23
2,1,3,2,2,4,23
1,2,2,1,1,4,23
4,1,4,4,2,5,23
3,2,3,2,1,5,23
2,1,3,1,1,4,23
3,2,2,1,1,4,23
1,2,4,1,1,4,23
3,1,4,4,2,5,23
1,1,3,1,1,4,23
3,1,4,1,1,4,23
2,1,3,1,1,4,23
3,2,3,1,1,4,23
1,1,2,3,1,3,23
3,2,1,3,4,1,23
2,1,2,3,3,4,23
2,1,3,3,1,3,23
3,1,3,2,2,5,23
3,2,4,2,1,4,23
2,2,2,2,1,4,23
1,2,3,2,1,4,23
3,2,3,2,1,4,23
1,2,3,1,1,4,23
1,2,3,1,1,4,23
1,4,4,2,1,1,23
4,1,4,2,1,5,23
3,2,2,1,1,4,23
4,2,3,2,4,5,23
2,2,2,1,1,4,23
1,2,4,1,1,4,23
1,2,3,1,1,4,23
3,3,4,2,3,2,23
4,1,2,2,1,4,23
3,2,3,3,3,5,23
2,2,4,1,1,4,23
2,2,2,1,1,4,23
2,2,2,3,3,4,23
1,2,2,3,3,4,23
4,2,3,2,1,5,23
3,2,1,4,1,4,23
3,2,3,1,1,4,23
3,2,4,4,4,5,23
2,2,4,1,1,4,23
1,2,4,2,2,4,23
4,2,4,2,5,4,23
1,2,4,2,2,1,23
2,3,2,1,1,4,23
1,3,3,2,1,4,23
1,3,4,3,2,5,23
1,2,2,1,1,4,23
2,2,2,1,1,5,23
3,1,4,2,1,5,23
1,3,3,1,1,4,23
4,2,3,4,4,4,23
4,2,4,1,1,4,23
1,2,4,2,1,5,23
1,2,3,1,1,4,23
3,2,4,1,1,4,23
2,2,4,2,2,3,23
1,2,3,2,2,1,23
1,4,3,2,3,1,23
1,4,3,2,1,5,23
2,2,4,1,1,4,23
2,3,1,2,1,4,23
4,2,1,3,1,5,23
4,2,4,1,1,4,23
2,2,4,1,1,5,23
3,2,2,2,1,5,23
1,2,2,2,2,3,23
1,2,2,2,2,3,23
2,2,4,2,1,4,23
1,4,4,2,1,5,23
1,2,3,2,2,5,23
1,2,3,2,1,5,23
2,3,3,2,1,5,23
1,2,3,1,1,4,23
1,3,2,1,1,4,23
3,1,4,2,1,4,19
2,1,2,1,1,4,19
2,2,3,1,1,4,19
2,2,1,1,1,4,19
1,2,2,1,1,4,19
1,3,4,1,1,4,19
3,1,4,1,1,4,19
1,2,3,1,1,4,19
1,2,4,1,1,4,19
1,3,4,3,1,4,19
1,2,3,1,1,4,19
1,2,3,1,1,4,19
1,3,4,1,1,4,19
1,3,3,1,1,4,19
2,2,2,2,1,4,19
1,2,4,1,1,4,19
2,1,4,1,1,4,19
1,2,4,1,1,4,19
2,2,3,2,3,4,19
1,2,2,1,1,4,19
1,2,4,2,3,5,19
1,3,4,3,2,3,19
1,3,4,1,1,4,19
1,2,4,3,1,4,19
1,3,3,1,1,4,19
1,2,4,1,1,4,19
1,2,4,2,1,3,19
1,2,4,1,1,4,19
1,2,3,1,1,4,19
1,2,2,3,1,4,19
1,3,3,1,1,4,19
1,2,2,3,1,4,19
1,2,3,2,1,3,19
2,1,4,1,1,4,19
2,1,4,1,1,4,19
2,1,4,1,1,4,19
1,3,2,1,1,4,19
1,2,3,1,1,4,19
1,2,4,2,2,4,19
3,1,4,1,1,4,19
1,2,4,2,1,4,19
1,1,4,1,1,4,19
2,3,4,1,1,4,19
3,1,4,1,1,4,19
2,1,3,1,1,4,19
1,2,3,2,1,3,19
1,2,3,1,1,4,19
1,3,2,1,1,4,19
1,2,2,2,1,3,19
1,2,3,1,1,4,19
1,2,4,1,1,4,19
2,1,2,1,1,4,19
1,2,4,1,1,4,19
3,2,2,1,1,4,19
2,2,4,2,1,5,19
1,2,3,2,1,5,19
1,2,3,1,1,4,19
2,3,4,1,1,4,19
1,2,4,1,1,4,19
1,2,4,4,4,4,19
1,2,3,1,1,4,19
1,3,3,2,3,3,19
1,2,3,1,1,4,19
2,3,3,3,1,5,19
1,2,4,2,4,4,19
1,2,3,2,2,4,19
2,2,3,2,1,5,19
1,3,4,2,5,5,19
4,1,4,3,2,4,19
2,1,4,1,1,4,19
1,2,3,1,1,3,19
1,2,2,3,3,3,19
2,2,3,3,5,3,19
1,2,3,2,2,4,19
1,2,3,2,1,3,19
1,2,3,1,1,4,19
1,3,2,1,1,4,19
2,1,2,1,1,4,19
1,2,3,1,1,4,19
3,2,4,3,4,4,19
1,2,2,1,1,4,19
1,2,2,1,1,4,19
2,2,3,2,1,5,19
2,2,4,3,5,5,19
1,2,4,1,1,4,19
1,2,4,1,1,4,19
1,2,4,1,1,5,19
1,1,4,3,5,5,19
1,2,4,4,5,4,19
1,2,4,2,5,4,19
1,2,4,2,1,4,19
1,1,3,2,1,4,19
1,3,3,1,1,4,19
1,3,4,2,1,3,19
1,3,4,1,1,4,19
1,3,2,1,1,4,19
1,2,4,2,1,5,19
1,2,3,1,1,4,19
1,2,4,1,1,4,19
1,3,3,2,1,4,19
1,2,3,1,1,4,19
1,3,3,1,1,4,19
3,3,4,2,2,5,19
1,2,3,1,1,4,19
1,2,4,1,1,4,19
1,3,3,2,1,4,19
1,4,3,1,1,4,19
1,3,4,1,1,4,19
1,2,3,1,1,4,19
1,3,3,2,1,3,19
1,4,4,2,1,4,19
1,2,2,1,1,4,19
2,2,4,1,1,4,19
3,2,3,1,1,4,19
1,2,2,2,2,3,19
1,2,3,1,1,4,19
3,2,3,2,1,5,19
2,2,3,2,1,5,19
1,2,4,2,1,4,19
1,3,2,2,1,5,19
1,2,3,1,1,4,19
1,2,4,1,1,4,19
1,2,4,1,1,4,19
1,2,3,2,2,4,19
1,2,2,2,1,4,19
1,2,3,1,1,4,19
1,2,2,1,1,3,19
1,2,3,2,1,4,19
1,2,3,2,1,4,19
1,2,4,1,1,4,19
1,3,3,2,1,1,19
1,3,4,1,1,4,19
1,3,4,3,1,2,19
1,3,4,2,1,5,19
4,2,4,1,1,4,19
1,4,3,2,1,4,19
1,3,4,1,1,4,19
1,3,2,2,3,4,19
1,4,3,2,1,4,19
1,3,3,1,1,4,19
1,4,4,1,1,4,19
1,3,4,3,3,5,19
1,4,4,2,1,5,19
1,4,3,1,1,4,19
1,3,3,1,1,4,19
2,2,4,3,2,4,19
1,3,3,1,1,4,19
1,2,4,3,1,1,19
1,2,3,2,1,4,19
1,3,3,3,1,4,19
1,2,2,1,1,4,19
1,2,3,1,1,4,19
1,2,3,1,1,4,19
1,2,3,1,1,4,19
2,2,4,1,1,5,19
1,2,4,1,1,4,19
1,3,3,2,1,5,19
2,2,4,3,1,4,19
1,4,3,2,1,2,19
2,2,3,2,1,5,19
3,2,2,2,1,4,19
3,1,3,2,1,5,19
1,2,3,2,1,1,19
1,2,3,1,1,4,19
1,3,2,1,1,4,19
2,2,3,1,1,4,19
3,2,3,3,3,5,19
2,2,3,3,2,1,19
1,2,4,3,1,5,19
2,2,2,1,1,4,19
1,2,4,1,1,4,19
1,3,4,1,1,5,19
1,3,4,1,1,4,19
1,2,4,1,1,4,19
2,2,3,3,1,2,19
2,3,3,2,1,3,19
2,2,3,1,1,4,19
2,2,2,1,1,4,19
1,3,4,3,1,4,19
1,3,4,1,1,4,19
2,3,4,3,2,5,19
1,2,4,1,1,4,19
1,2,4,1,1,4,19
1,2,4,1,1,4,19
1,2,4,1,1,4,19
1,2,4,2,3,5,19
3,2,3,2,1,5,19
2,2,4,2,1,3,19
2,2,2,2,1,5,19
4,2,4,1,1,4,19
3,2,4,2,1,5,19
4,2,1,3,3,5,19
2,3,4,3,4,5,19
2,3,3,3,1,5,19
3,2,2,1,1,4,19
1,2,4,2,1,5,19
1,2,4,1,1,4,19
1,3,4,2,1,4,19
4,2,2,3,3,4,19
1,2,4,2,2,4,19
1,2,3,1,1,4,19
2,2,3,2,1,5,19
1,4,2,1,1,4,19
3,1,4,1,1,4,19
1,2,2,2,1,4,19
1,2,3,2,1,3,19
3,2,2,1,1,4,19
1,2,3,1,1,4,19
1,2,4,2,1,5,19
3,2,4,4,4,4,19
3,1,4,1,1,5,19
1,2,3,2,1,3,19
3,3,3,1,1,4,19
2,2,3,1,1,4,19
1,2,3,1,1,4,19
2,2,3,1,1,4,19
2,2,4,3,3,4,19
1,3,3,1,1,4,19
1,2,2,1,1,4,19
1,4,3,1,1,4,19
1,2,3,1,1,4,19
1,3,2,1,1,4,19
3,1,4,3,2,5,19
1,2,2,1,1,4,19
2,2,2,1,5,4,19
3,2,4,4,5,4,19
1,2,4,1,1,4,19
1,2,4,1,1,4,19
1,4,3,1,1,4,19
2,4,4,4,1,1,19
1,2,4,11,1,4,19
1,2,3,1,1,4,19
1,3,3,1,1,4,19
1,4,3,2,1,4,19
1,4,4,1,1,4,19
1,3,4,1,1,4,19
3,2,4,1,1,4,19
1,3,2,1,1,4,19
1,2,3,1,1,4,19
1,2,3,3,2,1,19
1,2,2,3,4,4,19
1,2,4,2,1,4,19
1,3,4,1,1,4,19
2,2,4,2,2,3,19
1,2,4,5,5,1,19
1,2,4,3,1,4,19
1,4,4,1,1,4,19
2,1,4,1,1,4,19
4,2,3,2,1,1,19
1,3,2,1,1,4,19
2,2,1,1,1,4,19
1,2,2,1,1,4,19
1,3,3,1,1,4,19
1,3,4,2,1,4,19
1,4,3,1,1,4,19
1,3,3,1,1,4,19
1,3,3,1,1,4,19
1,4,3,1,1,4,19
1,3,3,1,1,4,19
1,4,3,1,1,4,19
1,3,3,2,3,4,19
1,2,3,2,1,4,19
2,2,3,2,3,5,19
1,2,3,1,1,4,19
1,3,3,2,1,4,19
1,4,3,2,1,4,19
2,2,4,2,1,4,19
1,3,3,2,2,4,19
1,3,3,1,1,4,19
1,2,4,1,1,4,19
1,2,3,2,3,3,19
1,4,3,1,1,4,19
2,2,4,1,1,5,19
3,2,2,1,1,4,19
2,3,2,1,1,4,19
1,3,3,1,1,4,19
3,2,2,1,3,5,19
2,2,3,3,3,4,19
1,2,1,5,5,1,19
1,2,3,2,2,5,19
1,2,2,2,3,4,19
1,3,3,1,1,4,19
4,1,4,3,1,5,19
1,4,2,1,2,5,19
1,2,2,1,1,4,19
1,2,3,1,1,4,19
1,3,3,1,1,4,19
1,2,3,2,1,4,19
1,2,3,1,1,4,19
1,2,4,1,2,5,19
2,1,4,4,4,5,19
2,2,4,1,1,4,19
3,2,4,1,1,4,19
3,3,3,3,2,5,19
2,2,4,1,1,4,19
3,1,4,1,1,4,19
2,2,4,3,2,5,19
3,1,3,2,1,4,19
3,2,4,2,4,4,19
2,2,3,1,1,4,19
2,2,4,3,3,4,19
3,2,3,2,1,4,19
1,2,4,1,1,4,19
3,2,4,3,2,5,19
4,1,4,2,3,5,19
1,1,2,1,1,4,19
1,2,4,1,1,4,19
1,2,4,1,1,4,19
2,2,3,3,1,4,19
2,2,4,1,1,4,19
2,2,3,1,1,4,19
1,2,3,2,1,4,19
1,2,2,2,1,4,19
1,3,2,2,1,4,19
2,2,3,2,1,4,19
3,2,3,2,1,3,19
1,3,2,1,1,4,19
1,2,2,1,1,4,19
1,1,1,2,1,5,19
1,1,4,2,1,3,19
3,1,3,2,3,5,19
